Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
MERCK LIGHT CLOUD,2018,"Germany, Darmstadt",A light and sound installation reacting in ever new patterns to the physical presence of visitors,"['#Germany', '#2018', '#Future trends & prototypes', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/10/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/10,Merck Group,HENN,"TAMSCHICK MEDIA+SPACE (concept and creative direction), iart (planning)",iart,"TAMSCHICK MEDIA+SPACE, iart",iart,TAMSCHICK MEDIA+SPACE,"OLEDWorks (OLED panels), iart (drivers, control system and mechanical structure)",iart,"iart, Kling Klang Klong","The installation consists of four three-dimensionally curved metal strands made of powder-coated steel. Attached to the main strands are individual ""branches"". Each branch features two OLED panels facing opposite directions, with all branches being aligned identically.",Double-sided OLED panels that are fully controllable.,The installation has 576 OLEDs with 16 bit resolution.,"The installation is located in a mirrored atrium between two buildings of the Merck Innovation Centre in Darmstadt, Germany.","85 scenes were saved and are activated in different variants in daily operation. Many are interactive. New sounds are composed generatively in reaction to the movement of visitors. Light effects change in response to specific sounds, such as the frequency of an audio signal, and to movement.","iart, TAMSCHICK MEDIA+SPACE, iart, TAMSCHICK MEDIA+SPACE, iart, TAMSCHICK MEDIA+SPACE, iart, TAMSCHICK MEDIA+SPACE, iart, TAMSCHICK MEDIA+SPACE, iart",,,,,,,,,,,,,,,,,
+++ (READ +³),2018,"Brazil, Sao Paulo","+++ (read +³) is a LED audiovisual sculpture that synthesizes the urban crosses: mobility through the city layers, city data and electromagnetic waves fluxes closely related to the fabric and rhythm of the metropolis.","['#Brazil', '#2018', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/17/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/17,SP_Urban Digital Festival,,Marí­lia Pasculli and Muti Randolph,Muti Randolph,,Muti Randolph,Muti Randolph,Muti Randolph,,Muti Randolph,"cross-shaped sculpture (6x1.60m each axis of the cross) 3m2 base of sustentation covered with wood painted in black. 4 sound channels, one speaker in each side of cross. 1 mac computer display. Interior made of Iron box truss covered LED panels. LED outdoor E12mm, each panel 1.60m x 1.60m 128 pixels - totaling 29 LED panels",,Detailed mapping project and resolution information set up at https://www.dropbox.com/sh/v9qvnvzpvl4ev7a/AAAtVGK9CiV0yxmX0WmwXQm1a?dl=0,"The location has one of the main bus terminals of the city, it houses a subway and bicycle station. It is the most well known case of city gentrification, the works of urban restructuring lasted a decade. It connects two noble areas of the city, has been marginalized for the past decades, sheltering houses of clandestine prostitution, mixing rural and popular merchants with illegal street vendors.","There were 6 distinct audio-video pieces, abstraction animation. Long lines and overlapping squared elements were relate to the Sao Paulo's city blocks and avenues. Others video contents were related to the digital culture, emphasize the non stop city rhythm, even when the city streets are empty the city and the citizens never stops generating data.","Bia Ferrer, Bia Ferrer, Bia Ferrer, Bia Ferrer, Bia Ferrer, Bia Ferrer",Marí­lia Pasculli,AmBev,"The ' +++' Installation were very important to instigates and attract people to the center of the square any time of the day/night, changing the regular 'flux', local citizen circulation. It allowed the integration of people from the most varied social functions and cultural background, such as skaters, homeless, executives, nightlife and bar lovers, students, etc. It created a 'security aura' due the luminosity and impressive dynamic visual impact. It was possible to establish a visual connection with passersby at a large distance. It was a meeting point during the time that was exhibited",,"Road safety, intersection and flows of people through the city, mobility and urban security, digital culture, city data, crossing of real and virtual layers in urban space. How urban digital art is capable of changing the social dynamics of city areas. How urban digital art can improve the citizen experience in areas where public policy is not efficient.","During the week approximately 250 people climbed the floor scenography for closer appreciation (pictures, selfies, perceive the sound, immersive visual impact, etc.) and read the banner info or asked the others in order to know what it was about. During the weekends it was impossible to measure the number of people, as there were hundreds of people standing around the work from 20h until 3h.",,"Open frameworks, self designed mapping software.",,Verve Cultural,Muti Randolph,Ledcom,,,12mm,,
HALO,2018,"United Kingdom, London","99 robotic mirrors track the sun to draw a circle of light suspended in a mist of water above the Edmond J Safra Courtyard at Somerset House, continuously sculpting a form which exists between material and immaterial.","['#United Kingdom', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/18/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/18,Somerset House,Kimchi and Chips,Kimchi and Chips,"Studio Sungshin, Hurst Peirce + Malcolm LLP",,,Kimchi and Chips,Dynamixel,Rulr,Kimchi and Chips,Heliostat array drawing lines of sunlight into an atomised mist of water,Sunlight,99 beams of sunlight,Public courtyard in London city centre,,Kimchi and Chips,Kimchi and Chips,"Arts Council Korea, Arts Council England, Gwangju Design Biennale, Somerset House Trust, Korean Culture Center UK",,,,,,,,,,,"Kimchi and Chips, Studio Sungshin",,500mm pitch between heliostats,,
LIGHT CUBE,2017,"Russia, Moscow","In point of fact, the LIGHT CUBE is a city landmark with dynamic constantly changing light content.","['#Russia', '#2017', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/19/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/19,Lukoil,,"Natalya Koptseva, Vasily Tarasenko",,Natalya Koptseva,,Natalya Koptseva,Seekway,Seekway,Pavel Polovnikov,,,"Fastened with the help of cable ropes - two cables per line - every line is twelve-metres long, totalling 484 lines, 19,360 pixels and a total watt consumption for peak-load conditions of 25kW.",The installed object is found at the LUCOIL Headquarters' top two kilometers off the Moscow Kremlin. On the top of the building (40 m. height),,"Pavel Polovnikov, Pavel Polovnikov, Pavel Polovnikov, Pavel Polovnikov, Pavel Polovnikov, Alexey Popov",Vasily Tarasenko,Lukoil,,,,,,,,,,,,,250 mm,,
NSOMNIUM,2018,"Spain, MADRID",Generative light experience,"['#Spain', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/29/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/29,Hilton,,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,NECSUM Technology for Emotion,A classic facade with rectangular windows was the perfect canvas to display this generative and interactive art with people,We create a led mesh with different types of sources of light emission to enhance the facade in an original and aesthetic way,"Through a helmet that captures the brain waves of each person, in real time, converts the brain activity of the audience into harmonic patterns of light and sound","The DoubleTree by Hilton Madrid-Prado is located in the center of Madrid, 300 meters from Paseo del Prado and 400 meters from Museo del Prado.","NSOMNIUM is a generative interactive experience that, in real time, converts the brain activity of the audience into harmonic patterns of light and sound.",,,,,,,,,,,,NECSUM Technology for Emotion,,,,,,
ZOOM BLUE DOT,2018,"United States of America, Norway, Trondheim",Zoom Bue Dot,"['#United States of America', '#Norway', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/30/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/30,TSSK,TSSK,Bull.Miletic,Bull.Miletic,Bull.Miletic,Bull.Miletic,Bull.Miletic,Bull.Miletic,Bull.Miletic,,,,,,,"Bull.Miletic, Bull.Miletic, Bull.Miletic, Bull.Miletic, Bull.Miletic, Bull.Miletic",Bull.Miletic,University of California Berkeley,,,,,,,,,Bull.Miletic,TSSK,Bull.Miletic,,,,
INSIDE OUT,2018,"Germany, Weimar",Concept of a media facade,"['#Germany', '#2018', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/34/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/34,"Library of the Bauhaus University, Weimar, Germany",,"5Elements: Ana Romí£o, Eike Buff, Josí© David Buendí­a, Farnaz Khosh-Sirat, Lukas Neumann",,5Elements,,5Elements,,,5Elements,Parallelepiped shape main building with front glass/ window facade and plain concrete side facade towards the street.,Using projection mapping to simulate smart LED stripes and mesh.,,"close to city center, main traffic road nearby, students and university area address: SteubenstraíŸe 6/8, 99423 Weimar, Germany",,"Oliver Blum, Oliver Blum, Oliver Blum, 5Elements, 5Elements, 5Elements",5Elements,MXWendler Weimar,,,,,,,,,,,,,,,
OSMANTHUS THEME PARK IN JINZHAI ANHUI,2018,"China, Lu'an, Anhui","Public art is activated by the ""Moon""","['#China', '#2018', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/39/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/39,Osmanthus Theme Park,Osmanthus Theme Park Sculpture,Zhang Zhaohong of Central Academy of Fine Art,,JOYWAY,,JOYWAY,JOYWAY,JOYWAY,,,,,,,,,,,,,,,,,,Beijing Huigu,Beijing Huigu,,,,,
SOLAR SHIMMER,2017,"Qatar, Doha","""Solar Shimmer"": a kinetic, light-emitting media screen made from reused waste and powered by the sun","['#Qatar', '#2017', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/40/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/40,Qatar Solar Technologies and Qatar Museums,,Eleonora Nicoletti and Anthony Castronovo,,,,,,,,,,,,,"Eleonora Nicoletti and Anthony Castronovo, Eleonora Nicoletti and Anthony Castronovo, Eleonora Nicoletti and Anthony Castronovo",,,Local visitors and students of various ages,,,,,,,Qatar Solar Technologies and Qatar Museums,,,,,,,
BEIJING TOPWIN CENTER,2016,"China, Beijing","Towering over Beijing city, centering of charming night","['#China', '#2016', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/43/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/43,"Beijing Topwin Real Estate Co., Ltd",Hellmuth Obtat Kassabaum(HOK),,,"HES Technology Group Co., Ltd.","HES Technology Group Co., Ltd.",,"Linear LED luminaires by Shanghai Guang Lian Lighting Co., Ltd.","DMX512 by Shanghai Guang Lian Lighting Co., Ltd.",,"Beijing Topwin Center is largely constructed with glass facades with a ""honeycomb diamond"" section-like exterior. RGB LED linear lamps is embedded in the hexagonal decorative groove on the curtain wall. The overall line is smooth , modern and concise, just like the huge sculpture standing in the city, to ensure the visual integrity of the glass curtain wall.","Tiffany Blue is used as the main color, which is totally different from the colorful lighting atmosphere of other surrounding buildings. The frosted surface of lamps make the glare and escape light be effectively avoided. The lighting control system adopts the most stable DMX512 at present. It is easy to edit, play, replace and remote control the lighting program.","The lighting control system adopts the error correction technology, which solves the problem that the traditional DMX512 technology is easy to be interfered by various complex factors on the spot in the process of data transmission, and improves the stability of the system operation.","Beijing Topwin Center is located in the core of Sanlitun business circle, close to SOHO, with Sanlitun Taiguli, Sanlitun Bar Street across the road. On the one side is the colorful commercial lighting atmosphere, and the other side is next to the residential housing.","Beijing Topwin Center lies in the heart of Sanlitun. it is largely constructed with glass facades with its ""honeycomb diamond"" section-like exterior. Tiffany Blue is used as the main color, which is totally different from the colorful lighting atmosphere of other surrounding buildings. The DMX512 lighting control system make it easy to show different color and content change patterns.","Beijing Topwin Center 1, Beijing Topwin Center 2, Beijing Topwin Center 3, Beijing Topwin Center 4, Entrance of Beijing Topwin Center",,,,,,,,,,,,,,,,,
IMMERSION,2018,"Spain, ASTURIAS",360Âº of art and illusion,"['#Spain', '#2018', '#Branded Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/48/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/48,intu Asturias,,NECSUM Technology for Emotion,NECSUM Technology for Emotion,,,NECSUM Technology for Emotion,NECSUM Technology for Emotion,,NECSUM Technology for Emotion,,,"17.888 x 260 pixels. Is was a challenging resolution as well as huge, but finally we culd do impressive art content.","Oviedo, Asturias' capital now has the first circular and sensorial led screen in Europe. Surrunded by nature, this beautiful green place in te North of Spain is digitalised and very innovative as the visitors said.","From optical illusions to 3D creations with real people. As we plunge into the leisure plaza, visitors are surrounded by the multimedia ring that has a variety of content capsules that transform the environment. Relaxing and immersive natural landscapes alternate with virtual sculpture and stages for swing dancing, among other content. Interactivity takes centre stage with two fun experiences.",,,,,,,,,,,,,,,,3.9mm,,
ARCHITECTURE INFINITE PROLIFERATING GEOMETRY,2018,"South Korea, Seoul","Architectural media art installatioon, commissioned for the 80th anniversary of National Museum of Modern and Contemporary Art Museum, Deoksugung","['#South Korea', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/50/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/50,SCALe,,Tesoc Hah,,,SCALe - Seunggyu Cho,,,,"SCALe - Junseok Park, Tony Lim",,,,,,"SCALe, SCALe, SCALe, SCALe",SCALe - Youngjin Cho,"Commissioned by National Museum of Modern and Contemporary Art, Korea",,,,,,,,,,,,,,,
WAVELENGTH,2018,"Australia, Sydney","The illuminated installation casts soft, moving light and images across the surrounding precinct, bringing the vibrant, warm energy from within the building into the surrounding envirionment.","['#Australia', '#2018', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/51/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/51,Canterbury League Club,Altis Architecture,Ramus,Hera Enginering,Ramus,Ramus,Ramus,Ramus and Iion,Ramus and Iion,Iion,Copper faíçade embedded with LED light blades spread across the facade.,Low res LED screen and light facade with elegant LED blades spread across the top level of the building.,"The illuminated installation casts soft, moving light and images across the surrounding precinct, bringing the vibrant, warm energy from within the building into the surrounding space. The visual content is deeply considered and carefully curated, for the purpose of creating a deeper sense of engagement with guests.","Ramus introduced a sense of expansion to the building, creating an experience that connects with the local community and also creates resonance and recognition on a national scale, creating a lasting, memorable impact long after visitors enter and leave.",http://bit.ly/ramusformab,"Ramus, Ramus, Ramus",Ramus,Big Screen Projects,,,,,,,,,Altis Architecture,Altis Architecture,Altis Architecture,Altis Architecture,,,
GRCB BANK – TIME TELLS A LUMINOUS STORY,2018,"China, Guangzhou","Time Tells a Luminous Story' by DEM Global Designed for GRCB, Guangzhou, China","['#China', '#2018', '#Future trends & prototypes', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/52/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/52,Guangzhou Rural Commercial Bank (GRCB),Guangzhou Rural Commercial Bank (GRCB),Demos Chiang and DEM (NINGBOFenghua) CO.LTD,,,,,"Shenzhen Joyway Technology Co., Ltd",,,,,,,,"Summer, Spring",,,,,,,,,,,,,,,,,
MUURMELAAR,2018,"Belgium, Leuven",MUURmelaar: an Interactive Facade with Architectural Value,"['#Belgium', '#2018', '#Spatial media art', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/54/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/54,Research[x]Design at KU Leuven and DMOA Architects,DMOA Architects,"Maarten Houben, Andrew Vande Moere, Benjamin Denef, Matthias Mattelaer",,,,"Maarten Houben, Andrew Vande Moere (Soundscapes)",,"Maarten Houben, Andrew Vande Moere (Sound control software)","Maarten Houben, Andrew Vande Moere","The architects dismissed lighting or LED displays as they believed these would overpower the subtle material qualities i.e. 'stamped' concrete. The intended dynamic media had to be invisible and unobtrusive, yet still be related to the architectural manifestation. The resulting wooden-like tonality can be intuitively interpreted as a materiality that is generated 'out of' the architecture itself.","The wooden window frames are re-interpreted as architectural 'instruments' that can be more authentically actuated, such as by the mechanical hammering motion of a small piston, electronically driven by a solenoid. The overall sound landscape consists of unique and ever-changing combinations of wooden sounds with different tones and rhythms.","By trial-and-error the passers-by are invited to 'discover' the functionality of the faíçade. When the basic functionality is understood passers-by can control the actuation of the faíçade and 'play'. When people are approaching each other, social interaction is anticipated. If they disperse and stop or don't socially interact, the soundscape will gradually vanish.","The architecture office is situated between the busy beltway of Leuven and the more quiet and peaceful Ruelenspark. A gradually changing urban soundscape characterizes the public passage along the DMOA office. Inspired by this contextual quality, sound was used as a 'medium' for the media faíçade, which would respect the subtle stamped concrete, yet be perceivable enough to facilitate interactions.","The content of the media faíçade, or what message it conveys relates to how the building itself communicates with its immediate environment. The responsive character allows the building to manifest itself in the socio-cultural fabric by stimulating social interaction with and between local residents, and by implying and accentuating the curved 'pull' movement of the front facade towards the park.","KU Leuven, KU Leuven, DMOA Architects, DMOA Architects, KU Leuven, KU Leuven",,Research[x]Design at KU Leuven and DMOA Architects,,,,,,,,,"Matthias Mattelaer, Benjamin Denef",,,,"Seventeen windows are equipped with a spring-actuated wooden block, which is agitated by an invisible and electronically controlled hammer. The multiplication of this actuation over 17 separate windows also allows for the spatial distribution of dynamic rhythms on urban and architectural scale.",,
THE RESIDENTIAL COMPLEX “SIGNATURE”,2019,"Ukraine, Kiev","The residential complex called ""Signature"" is the first large-scale building in Ukraine that uses a difficult parametric architecture. We associated the structure of the facade with the neural connections, which we brought to life as moving light neural impulses. To fix the light sources, a special curvilinear profile was developed that bends in both horizontal and vertical planes. This solution is completely integrated into the architecture of our building. On the facade of the shopping part of the complex, there are windows of irregular shapes for which we develop special louvered screens. These screens will be translucent, but from a certain distance, the video content will be visible on them.","['#Ukraine', '#2019', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/55/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/55,"LLC «EK« Service », Kiev, Ukraine","«Schmidthuber», Munich, Germany","«Schmidthuber», Munich, Germany","«Schmidthuber», Munich, Germany","«Expolight», Dnipro, Ukraine","«Expolight», Dnipro, Ukraine","«Expolight», Dnipro, Ukraine","«Expolight», Dnipro, Ukraine","«Expolight», Dnipro, Ukraine",,Building in Ukraine that uses a difficult parametric architecture. Constructions - monolithic reinforced concrete frame. In the decoration of the facade are dominated by glass and metal.,Linear Multimedia LED Light Source,,"The construction of «Signature» is carried out in the Pechersk district of Kyiv at the street. Mechnikov, 11a. In step-by-step accessibility - metro station ""Klovska"", public transport stops. Along the departures on the main transport highways of the city.",,"Expolight, Expolight, Expolight, Expolight, Expolight","«Expolight», Dnipro, Ukraine",,,,,,,,,,"«Schmidthuber», Munich, Germany","«Schmidthuber», Munich, Germany",,,,,
MULTIFUNCTIONAL COMPLEX “CASCADE PLAZA”,2014,"Ukraine, Dnipro","For the illumination of the multifunctional complex ""Cascade Plaza"", we used spotlights with bifocal lenses that provides the same brightness perception of the light points both in direct closeness to the facade (from the adjoined boulevard) and from the distance of 2-3 km (from the opposite bank of the Dnipro river). The lighting constantly changes shades due to a big amount of the programmed patterns. In case of necessity, colors can be tuned in themes of public holidays or any other events.","['#Ukraine', '#2014', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/56/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/56,"Development conpany Alef Estate, Dnipro, Ukraine","Dolnik & CO Ltd, Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine",,"Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,"""Cascade Plaza"" is a three parallel residential block located on a 5-storey platform, the roof of which is used as a yard space. Constructions - monolithic reinforced concrete frame.",LED-spotlights with bifocal lenses,,"The complex is located in the city center, adjacent to the popular pedestrian areas.",,"Expolight, Expolight, Expolight, Expolight, Expolight, Expolight",,,,,,,,,,,"Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine",,,,,
THE SHOPPING CENTER “KUBOMETR”,2016,"Ukraine, Dnipro","Assembled from modular sea containers, the shopping center ""Kubometr"" is a relatively temporary building, which was made in place of the future capital building. After some time ""Kubometr"" will change its location but now it is a metaphor of movement and transformation which are unavoidable in life. The future history of this project was implemented in a light conception: multimedia waves roll by a side plane creating an effect of movement for the energy saved in containers.","['#Ukraine', '#2016', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/57/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/57,"Development company Alef Estate, Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,"Multicolored container stores with separate entrances combined into shopping streets. From the weather, the complex is protected by overlap, each container is equipped with a heating system and air conditioning.",Multimedia LED light sources with focusing narrow-beam lenses,,,,"Expolight, Expolight, Expolight, Expolight, Expolight",,,,,,,,,,,"Dolnik & CO Ltd., Dnipro, Ukraine",,,,,,
UK PAVILION LIGHT SCULPTURE AND PANORAMA,2017,"Kazakhstan, Astana",An interactive installation representing the timeless connection between human civilization and our environment,"['#Kazakhstan', '#2017', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/58/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/58,UK Trade & Investment,Asif Khan,"Asif Khan, iart",AKT II,"Asif Khan, iart",iart,"Asif Khan, iart, Brian Eno",iart,iart,"Asif Khan, iart","The light sculpture consisted of 200 identical, four metres high spokes made of acrylic glass. The spokes were curved at the top and arranged in a circle. Together they formed a shape that is reminiscent of the architecture of the yurt, the traditional round tents of Kazak nomad communities. The panorama was 40,000 pixels wide and had a diameter of 17 metres. 22 projectors were used.",Each spoke contained two 3W RGBW high power LEDs that were 4 x 16 bit dimmable (for each colour).,"The LEDs were located at the lower end of the spokes. They injected light into the acrylic glass, thus making the entire spokes ""glow"". An embedded capacitive sensor in the spoke sensed the approach of a human hand.","The installation was located inside the British pavilion during the Expo in Astana, which took place from 10 June - 10 September 2017.","Visitors were able to interact with the installation by touching the spokes of the yurt. A light touch was enough to make them glow, before, after a few seconds, the light faded again. A very subtle light animation linked to the content of the panorama projection ran in idle mode. The panorama projection showed a universal landscape generated entirely by computer.","Â©Ií±igo Bujedo Aguirre, Â©Ií±igo Bujedo Aguirre, Â©Ií±igo Bujedo Aguirre, Â©Ií±igo Bujedo Aguirre, Â©Ií±igo Bujedo Aguirre, iart",Nüssli,,,,,,,,,,,iart (yurt),,,The distance from one spoke to the next was fifteen centimetres.,,
